id,name,interaction,smile,target,enzyme,carrier,transporter
DB00001,,DB14093|DB08496|DB14055|DB01481|DB01543,,,,,
DB00002,,DB16077|DB00054|DB12775|DB15076|DB16376,,|||||||,,,
DB00003,,,,,,,
DB00004,,DB06742|DB09009|DB01086|DB06770|DB00297,,|,,,
DB00005,,DB08496|DB14055|DB02806|DB01472|DB14010,,||||||||,,,
DB00006,,DB14093|DB08496|DB14055|DB01481|DB01543,"(4S)-4-[(2S)-2-[(2S)-2-[(2S)-2-{2-[(2S)-2-(2-{2-[2-(2-{[(2S)-1-[(2S)-2-{[(2S)-1-[(2R)-2-amino-3-phenylpropanoyl]pyrrolidin-2-yl]formamido}-5-carbamimidamidopentanoyl]pyrrolidin-2-yl]formamido}acetamido)acetamido]acetamido}acetamido)-3-carbamoylpropanamido]acetamido}-3-carboxypropanamido]-3-phenylpropanamido]-4-carboxybutanamido]-4-{[(2S,3S)-1-[(2S)-2-{[(1S)-3-carboxy-1-{[(1S)-3-carboxy-1-{[(1S)-1-{[(1S)-1-carboxy-3-methylbutyl]carbamoyl}-2-(4-hydroxyphenyl)ethyl]carbamoyl}propyl]carbamoyl}propyl]carbamoyl}pyrrolidin-1-yl]-3-methyl-1-oxopentan-2-yl]carbamoyl}butanoic acid",,,,
DB00007,,DB11898|DB01048|DB12565|DB00284|DB06736,,|,,,
DB00008,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,,,
DB00009,,DB14093|DB08496|DB14055|DB01481|DB01543,,|||,,,
DB00010,,,,,,,
DB00011,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,,,
DB00012,,DB12385|DB03509|DB11688|DB02342|DB03946,,,,,
DB00013,,DB14093|DB08496|DB14055|DB01481|DB01543,,|||||||,,,
DB00014,,DB11898|DB01048|DB12565|DB00284|DB06736,(2S)-1-[(2S)-2-[(2S)-2-[(2R)-3-(tert-butoxy)-2-[(2S)-2-[(2S)-3-hydroxy-2-[(2S)-2-[(2S)-3-(1H-imidazol-5-yl)-2-{[(2S)-5-oxopyrrolidin-2-yl]formamido}propanamido]-3-(1H-indol-3-yl)propanamido]propanamido]-3-(4-hydroxyphenyl)propanamido]propanamido]-4-methylpentanamido]-5-[(diaminomethylidene)amino]pentanoyl]-N-(carbamoylamino)pyrrolidine-2-carboxamide,||,,,
DB00015,,DB14093|DB08496|DB14055|DB01481|DB01543,,||,,,
DB00016,,DB12385|DB03509|DB11688|DB02342|DB03946,,,,,
DB00017,,DB01467|DB13940|DB02058|DB01484|DB01048,,,,,
DB00018,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,,,
DB00019,,DB12258|DB09329|DB12814|DB08904|DB00531,,,,,
DB00020,,DB00290|DB00531|DB00570|DB13374|DB00541,,||||,,,
DB00022,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,||,,
DB00023,,DB11100|DB06742|DB09009|DB01086|DB06770,,,,,
DB00024,,DB08496|DB14055|DB11898|DB01467|DB13940,,,,,
DB00025,,DB08496|DB14055|DB03410|DB00054|DB01418,,||||||||||,|,,
DB00026,,DB08496|DB14055|DB02806|DB01472|DB14010,,,,,
DB00027,,DB08496|DB14055|DB03410|DB01418|DB06742,(2R)-N-[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1S)-1-[(2-hydroxyethyl)carbamoyl]-2-(1H-indol-3-yl)ethyl]carbamoyl}-3-methylbutyl]carbamoyl}-2-(1H-indol-3-yl)ethyl]carbamoyl}-3-methylbutyl]carbamoyl}-2-(1H-indol-3-yl)ethyl]carbamoyl}-3-methylbutyl]carbamoyl}-2-(1H-indol-3-yl)ethyl]carbamoyl}-2-methylpropyl]carbamoyl}-2-methylpropyl]carbamoyl}-2-methylpropyl]carbamoyl}ethyl]-2-{2-[(2S)-2-formamido-3-methylbutanamido]acetamido}-4-methylpentanamide,,,,
DB00028,,DB16077|DB00054|DB12775|DB15076|DB16376,,||||||||||,,,
DB00029,,DB14093|DB08496|DB14055|DB01481|DB01543,,||,,,
DB00030,,DB11898|DB12629|DB03374|DB07996|DB08550,,|||||,|||,,
DB00031,,DB14093|DB08496|DB14055|DB01481|DB01543,,||||||||||,,,
DB00032,,,,|,,,
DB00033,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,,,
DB00034,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,,,
DB00035,,DB04581|DB01467|DB13940|DB01484|DB01472,"(2R)-2-{[(2S)-1-[(4R,7S,10S,13S,16S)-13-benzyl-10-(2-carbamoylethyl)-7-(carbamoylmethyl)-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentaazacycloicosane-4-carbonyl]pyrrolidin-2-yl]formamido}-5-carbamimidamido-N-(carbamoylmethyl)pentanamide",|||,|,,
DB00036,,DB08496|DB14055|DB03410|DB00054|DB01418,,||||,,,
DB00038,,,,,,,
DB00039,,DB00041|DB00087|DB00488|DB00276|DB00407,,||,,,
DB00040,,DB08496|DB14055|DB03410|DB01193|DB01418,,||,,,
DB00041,,DB08496|DB14055|DB02806|DB12629|DB03374,,||,||||,,
DB00042,,DB12537|DB13940|DB01484|DB01472|DB14010,,||,,,
DB00043,,DB16077|DB00054|DB12775|DB15076|DB16376,,,,,
DB00044,,,,,,,
DB00045,,,,,,,
DB00046,,DB11898|DB12629|DB03374|DB07996|DB08550,,|,|,,
DB00047,,DB11898|DB12629|DB03374|DB07996|DB08550,,|,,,
DB00048,,DB08496|DB14055|DB03410|DB00054|DB01418,,||,,,
DB00049,,DB00316|DB00233|DB01612|DB01435|DB09009,,,,,
DB00050,,,(2S)-N-[(2S)-5-carbamimidamido-1-[(2S)-2-{[(1R)-1-carbamoylethyl]carbamoyl}pyrrolidin-1-yl]-1-oxopentan-2-yl]-2-[(2R)-5-(carbamoylamino)-2-[(2S)-2-[(2S)-2-[(2R)-2-[(2R)-3-(4-chlorophenyl)-2-[(2R)-2-acetamido-3-(naphthalen-2-yl)propanamido]propanamido]-3-(pyridin-3-yl)propanamido]-3-hydroxypropanamido]-3-(4-hydroxyphenyl)propanamido]pentanamido]-4-methylpentanamide,|,,,
DB00051,,DB08496|DB14055|DB02806|DB07954|DB01472,,,,,
DB00052,,DB08496|DB11898|DB11919|DB01667|DB14132,,|,|,,
