Drug A,Drug B
DB00001,DB14093
DB00001,DB08496
DB00001,DB14055
DB00001,DB01481
DB00001,DB01543
DB00002,DB16077
DB00002,DB00054
DB00002,DB12775
DB00002,DB15076
DB00002,DB16376
DB00004,DB06742
DB00004,DB09009
DB00004,DB01086
DB00004,DB06770
DB00004,DB00297
DB00005,DB08496
DB00005,DB14055
DB00005,DB02806
DB00005,DB01472
DB00005,DB14010
DB00006,DB14093
DB00006,DB08496
DB00006,DB14055
DB00006,DB01481
DB00006,DB01543
DB00007,DB11898
DB00007,DB01048
DB00007,DB12565
DB00007,DB00284
DB00007,DB06736
DB00008,DB08496
DB00008,DB14055
DB00008,DB02806
DB00008,DB07954
DB00008,DB03410
DB00009,DB14093
DB00009,DB08496
DB00009,DB14055
DB00009,DB01481
DB00009,DB01543
DB00011,DB08496
DB00011,DB14055
DB00011,DB02806
DB00011,DB07954
DB00011,DB03410
DB00012,DB12385
DB00012,DB03509
DB00012,DB11688
DB00012,DB02342
DB00012,DB03946
DB00013,DB14093
DB00013,DB08496
DB00013,DB14055
DB00013,DB01481
DB00013,DB01543
DB00014,DB11898
DB00014,DB01048
DB00014,DB12565
DB00014,DB00284
DB00014,DB06736
DB00015,DB14093
DB00015,DB08496
DB00015,DB14055
DB00015,DB01481
DB00015,DB01543
DB00016,DB12385
DB00016,DB03509
DB00016,DB11688
DB00016,DB02342
DB00016,DB03946
DB00017,DB01467
DB00017,DB13940
DB00017,DB02058
DB00017,DB01484
DB00017,DB01048
DB00018,DB08496
DB00018,DB14055
DB00018,DB02806
DB00018,DB07954
DB00018,DB03410
DB00019,DB12258
DB00019,DB09329
DB00019,DB12814
DB00019,DB08904
DB00019,DB00531
DB00020,DB00290
DB00020,DB00531
DB00020,DB00570
DB00020,DB13374
DB00020,DB00541
DB00022,DB08496
DB00022,DB14055
DB00022,DB02806
DB00022,DB07954
DB00022,DB03410
DB00023,DB11100
DB00023,DB06742
DB00023,DB09009
DB00023,DB01086
DB00023,DB06770
DB00024,DB08496
DB00024,DB14055
DB00024,DB11898
DB00024,DB01467
DB00024,DB13940
DB00025,DB08496
DB00025,DB14055
DB00025,DB03410
DB00025,DB00054
DB00025,DB01418
DB00026,DB08496
DB00026,DB14055
DB00026,DB02806
DB00026,DB01472
DB00026,DB14010
DB00027,DB08496
DB00027,DB14055
DB00027,DB03410
DB00027,DB01418
DB00027,DB06742
DB00028,DB16077
DB00028,DB00054
DB00028,DB12775
DB00028,DB15076
DB00028,DB16376
DB00029,DB14093
DB00029,DB08496
DB00029,DB14055
DB00029,DB01481
DB00029,DB01543
DB00030,DB11898
DB00030,DB12629
DB00030,DB03374
DB00030,DB07996
DB00030,DB08550
DB00031,DB14093
DB00031,DB08496
DB00031,DB14055
DB00031,DB01481
DB00031,DB01543
DB00033,DB08496
DB00033,DB14055
DB00033,DB02806
DB00033,DB07954
DB00033,DB03410
DB00034,DB08496
DB00034,DB14055
DB00034,DB02806
DB00034,DB07954
DB00034,DB03410
DB00035,DB04581
DB00035,DB01467
DB00035,DB13940
DB00035,DB01484
DB00035,DB01472
DB00036,DB08496
DB00036,DB14055
